user_id,StartTime,Timeless,Past.More.3.Years,Past.Between.1.3.Years,Past.Between.1.12.Months,Past.Between.1.4.Weeks,Past.Between.1.7.Days,Past.Yesterday,Past.Earlier.Today,Present.5.Minutes,Future.Later.Today,Future.Tomorrow,Future.Between.1.7.Days,Future.Between.1.4.Weeks,Future.Between.1.12.Months,Future.Between.1.3.Years,Future.More.3.Years
39,Thu Sep 03 22:36:07 GMT+02:00 2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Thu Sep 03 19:25:09 CST 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Fri Sep 04 20:58:32 CST 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sat Sep 05 17:48:09 CST 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Sat Sep 05 21:05:00 CST 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Thu Sep 10 14:19:29 GMT+01:00 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Thu Sep 10 21:02:44 EDT 2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Wed Sep 16 12:29:18 MDT 2015,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,Wed Sep 16 20:53:08 MDT 2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51,Sat Sep 26 11:20:28 AWST 2015,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
51,Sat Sep 26 14:37:58 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Sat Sep 26 21:55:36 AWST 2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Sun Sep 27 09:25:53 AWST 2015,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
51,Sun Sep 27 20:16:12 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Sun Sep 27 08:29:40 EDT 2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Mon Sep 28 08:25:52 AWST 2015,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0
51,Mon Sep 28 13:01:10 AWST 2015,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51,Mon Sep 28 15:03:16 AWST 2015,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
51,Mon Sep 28 21:55:14 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Tue Sep 29 08:17:04 AWST 2015,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
51,Tue Sep 29 14:02:07 AWST 2015,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
51,Wed Sep 30 07:51:15 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Wed Sep 30 21:35:13 AWST 2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Thu Oct 01 12:37:13 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Thu Oct 01 21:18:11 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Thu Oct 01 22:52:08 CEST 2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54,Thu Oct 01 22:55:57 CEST 2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
55,Fri Oct 02 07:43:25 CEST 2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Fri Oct 02 10:39:16 CEST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Fri Oct 02 11:20:43 CEST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Fri Oct 02 15:47:53 CEST 2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
51,Fri Oct 02 21:56:18 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Fri Oct 02 20:40:55 CEST 2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Sat Oct 03 13:11:36 AWST 2015,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
51,Sat Oct 03 14:30:17 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
53,Sat Oct 03 10:13:59 CEST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
54,Sat Oct 03 11:00:52 CEST 2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
53,Sat Oct 03 13:05:43 CEST 2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,Sat Oct 03 14:55:53 CEST 2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Sat Oct 03 15:40:01 CEST 2015,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Sat Oct 03 23:01:10 CEST 2015,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51,Sun Oct 04 09:09:28 AWST 2015,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
