2,KKOCUMPGMRBKSXXM,1.43509E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,VEMQQEXMNURCCCLL,1.43509E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,BDMGKUPYNUCWIJUC,1.43517E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,GLYWIQSXQTIQUPRJ,1.43517E+12,Not Hispanic or Latino,Doctoral Degree,0,1.4,Divorced or separated,12:00AM,Work full-time,Massachusetts,White,Suburb of a city,1.45256E+12,USA,NA,Christianity,8:00AM,America/New_York,7:00AM,39,0.04,N/A,Female,12:00AM,0
6,CFAKXMLVJPYQNMYT,1.43648E+12,Not Hispanic or Latino,4-year College Degree,0,NA,In a relationship but not living together,11:00PM,Student full-time,Colorado,White,Small city,NA,USA,NA,I do not identify with a religion,9:00AM,America/Denver,8:00AM,22,0.34,N/A,Female,10:00PM,0
7,RSPGJWHMIENWWLDN,1.43664E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,STEFXUVEXUSTGHRI,1.4369E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4369E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,FEPCMFARBVVHWGBK,1.43716E+12,Not Hispanic or Latino,Less than High School,0,NA,Single,10:00PM,Work full-time,Colorado,Black / African-American,Rural,1.43716E+12,USA,NA,Buddhism,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
10,PJYFKYFGBVIROGEX,1.43716E+12,Hispanic or Latino,"Professional Degree (i.e. M.D., J.D.)",0,NA,Single,10:00PM,Unemployed,Colorado,Asian or Asian-American,Large city,1.43724E+12,USA,"Less than $20,000",Christianity,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
11,OPBWGBHKRBVFVMHO,1.43734E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,EDOKANSBJWNASOPB,1.43734E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,QQOOBOSEIFVGJBDF,1.4374E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,JSYRRWLCAYWCDFJA,1.4374E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,BBUNUYSBGWIIHRSD,1.43742E+12,Not Hispanic or Latino,4-year College Degree,0,NA,Single,10:00PM,Work full-time,Colorado,White,Small city,1.43742E+12,USA,"$20,000 to $34,999",Other,9:00AM,America/Denver,8:00AM,18,0.53,N/A,Female,10:00PM,0
16,LIXSIOLYJJVXYYMQ,1.43803E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,TYMGFIDPVHWWXPKH,1.43803E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43871E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,GXMBXWKDWKDXLDJV,1.43816E+12,Not Hispanic or Latino,High School / GED,2,NA,Married,1:00AM,Work full-time,California,White,Small town,1.43824E+12,USA,NA,Christianity,7:00AM,America/Los_Angeles,5:30AM,30,0,Yes (all of the time),Male,1:00AM,0
19,OXPTYRIFGECAAIPU,1.43828E+12,Hispanic or Latino,Less than High School,0,NA,Single,10:00PM,Unemployed,Colorado,White,Large city,1.43828E+12,USA,"Less than $20,000",Christianity,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Female,10:00PM,0
20,NCGQKQFGUKEFBMUG,1.43844E+12,Not Hispanic or Latino,Master's Degree,0,NA,Single,11:00PM,Other,N/A,White,Small city,1.43967E+12,Russia,NA,Buddhism,6:30AM,Europe/Moscow,6:30AM,35,0.5,N/A,Male,11:00PM,0
21,FAYGDYIDCYUAQWCW,1.43865E+12,Hispanic or Latino,2-year College Degree,7,NA,Married,10:00PM,Student full-time,Colorado,White,Suburb of a city,1.43865E+12,USA,NA,Hinduism,9:00AM,America/Denver,8:00AM,99,0.72,No,Male,10:00PM,0
22,GXXXVKRAWQSYQWUL,1.43866E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,XJWDYYBQTBBTBSOW,1.43866E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43866E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,FIFMQFYFIMOXUSFW,1.43871E+12,Not Hispanic or Latino,Master's Degree,2,NA,Married,9:00PM,Full-time homemaker,Georgia,White,Small city,1.43871E+12,USA,"$75,000 to $99,999",Christianity,9:00AM,America/New_York,8:00AM,30,0.88,Yes (all of the time),Female,9:00PM,0
25,QJJEEDUCDWHTANBQ,1.43872E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,XWKDWUMLMBBVSMED,1.43872E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.43872E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,PEALMKKKRTHGQAVJ,1.43872E+12,Not Hispanic or Latino,2-year College Degree,3,NA,In a relationship but not living together,10:00PM,Work part-time,Colorado,Black / African-American,Suburb of a city,1.43872E+12,USA,"$50,000 to $74,999",Islam,9:00AM,America/Denver,8:00AM,18,0.49,Yes (part of the time),Male,10:00PM,0
28,NPNNBBUBOSIUDMKC,1.43872E+12,Not Hispanic or Latino,4-year College Degree,0,NA,Divorced or separated,10:00PM,Full-time homemaker,Colorado,Native Hawaiian or Other Pacific Islander,Small city,1.43872E+12,USA,"$50,000 to $74,999",Buddhism,9:00AM,America/Denver,8:00AM,18,0.5,N/A,"Transgender, transsexual, or queer",10:00PM,0
29,FTYGYVEKRLTPVOHD,1.43872E+12,Hispanic or Latino,4-year College Degree,0,NA,In a relationship and living together,10:00PM,Work full-time,Colorado,Native Hawaiian or Other Pacific Islander,Small town,1.43872E+12,USA,"$50,000 to $74,999",Hinduism,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Female,10:00PM,0
30,JKUAPXDWPDBRHLSC,1.43872E+12,Not Hispanic or Latino,2-year College Degree,0,NA,Divorced or separated,10:00PM,Work full-time,Colorado,Asian or Asian-American,Small city,1.43872E+12,USA,"$50,000 to $74,999",Hinduism,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Female,10:00PM,0
31,KKTUPWDFPDTJLTIC,1.4388E+12,Hispanic or Latino,4-year College Degree,1,NA,In a relationship but not living together,10:00PM,Student part-time,Colorado,Native Hawaiian or Other Pacific Islander,Small town,1.4388E+12,USA,NA,Buddhism,9:00AM,America/Denver,8:00AM,18,0.5,Yes (part of the time),Male,10:00PM,0
32,FONCFENXSJNMWCRA,1.43889E+12,Not Hispanic or Latino,4-year College Degree,0,1.3,Single,10:00PM,Unemployed,Colorado,Black / African-American,Suburb of a city,1.43889E+12,USA,"$20,000 to $34,999",Judaism,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
33,EOVXLRFHRYYWFSQF,1.43891E+12,Not Hispanic or Latino,Master's Degree,2,1.4,Married,10:00PM,Full-time homemaker,Georgia,White,Small city,1.46299E+12,USA,"$75,000 to $99,999",Christianity,9:00AM,America/Detroit,8:00AM,32,0.82,Yes (all of the time),Female,10:00PM,0
34,PKKEADUYORHWEBOM,1.43896E+12,Hispanic or Latino,2-year College Degree,3,1.3,Divorced or separated,10:00PM,Work part-time,Colorado,Asian or Asian-American,Small city,1.43897E+12,USA,"$35,000 to $49,999",Hinduism,9:00AM,America/Denver,8:00AM,99,0.74,Yes (part of the time),"Transgender, transsexual, or queer",10:00PM,0
35,MWCUVUNVAXDEUBEH,1.43898E+12,Hispanic or Latino,Less than High School,0,1.3,Single,10:00PM,Unemployed,Colorado,White,Large city,1.43898E+12,USA,"Less than $20,000",Christianity,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
36,KOGVGWSPCTYROKCC,1.43915E+12,Not Hispanic or Latino,4-year College Degree,0,NA,In a relationship but not living together,11:00PM,Work part-time,Pennsylvania,White,Large city,NA,USA,NA,Christianity,9:00AM,America/New_York,8:00AM,24,0,N/A,Male,11:01PM,0
37,TOWSBVVMOOHUATGO,1.43923E+12,Not Hispanic or Latino,2-year College Degree,0,1.3,Divorced or separated,10:00PM,Work full-time,Colorado,Asian or Asian-American,Small city,1.43923E+12,USA,"$35,000 to $49,999",Hinduism,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Female,10:00PM,0
38,MXJWYEAWFJINWDTL,1.43953E+12,Not Hispanic or Latino,4-year College Degree,0,NA,In a relationship and living together,10:00PM,Work full-time,N/A,White,Small town,1.44151E+12,Guatemala,NA,Christianity,7:00AM,America/Guatemala,7:00AM,43,0.5,N/A,Female,10:00PM,0
39,HFGRJJQVFXXVUDYA,1.44131E+12,Not Hispanic or Latino,High School / GED,0,NA,Single,4:00AM,"Unemployed,Student full-time",N/A,White,Small city,1.44189E+12,United Kingdom,NA,I do not identify with a religion,12:00PM,Europe/Budapest,10:00AM,18,0,N/A,Male,2:30AM,0
40,CAHSBEHGHKNEFWOS,1.44243E+12,Hispanic or Latino,Less than High School,0,NA,Single,10:00PM,Unemployed,Colorado,White,Large city,1.44243E+12,USA,NA,Christianity,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
41,QWHUYKKLHUDVAYFU,1.44243E+12,Not Hispanic or Latino,4-year College Degree,2,NA,In a relationship but not living together,9:00PM,Student full-time,Colorado,American Indian or Alaskan Native,Small town,1.44246E+12,USA,NA,Hinduism,10:00AM,America/Denver,10:00AM,60,0.2,Yes (part of the time),Female,9:00PM,0
42,LXFPNEEPVFOAWDAH,1.44248E+12,Not Hispanic or Latino,4-year College Degree,0,NA,Single,10:00PM,Student full-time,N/A,White,Large city,1.44248E+12,India,NA,Hinduism,9:00AM,Asia/Calcutta,5:30AM,18,0.71,N/A,Female,9:00PM,0
43,QJPDPELYHSEYDGYT,1.44253E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,IALONVEQAYGLHITX,1.44305E+12,Hispanic or Latino,Less than High School,0,NA,Single,10:00PM,Unemployed,Colorado,White,Large city,1.44305E+12,USA,NA,Christianity,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
45,UBLKWGFWQKRLINCR,1.44311E+12,Hispanic or Latino,Less than High School,0,1.4,"Single,Divorced or separated",10:00PM,"Unemployed,Work part-time",Colorado,White,Small city,1.44311E+12,USA,"Less than $20,000",Judaism,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
46,XPPNGNABGBYHTRES,1.44311E+12,Not Hispanic or Latino,"Professional Degree (i.e. M.D., J.D.)",0,1.4,Married,10:00PM,Other,Colorado,American Indian or Alaskan Native,Rural,1.44311E+12,USA,"$150,000 to $199,999",I do not identify with a religion,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
47,RKIUIXMTHMMPLRGL,1.44311E+12,Hispanic or Latino,"Professional Degree (i.e. M.D., J.D.)",0,1.4,Single,10:00PM,Unemployed,Colorado,White,Rural,1.44311E+12,USA,"$200,000 or more",Christianity,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
48,ILCCDROBPCVSIQIO,1.44313E+12,Hispanic or Latino,High School / GED,0,1.4,Single,10:00PM,Unemployed,Colorado,White,Large city,1.44313E+12,USA,"$50,000 to $74,999",Christianity,9:00AM,America/Denver,8:00AM,18,0.5,N/A,Male,10:00PM,0
49,SUVBFAKHRYLBPVUT,1.44322E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,COSAHKRSGKGSOEHH,1.44322E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,BXFNEAQWKDEVCPBB,1.44322E+12,Not Hispanic or Latino,2-year College Degree,0,NA,In a relationship but not living together,10:30PM,Work full-time,N/A,White,Small city,1.44524E+12,Australia,NA,I do not identify with a religion,8:30AM,Australia/Perth,7:45AM,28,0.12,N/A,Female,10:00PM,0
52,HCSPTOTBBXGNYYNH,1.4437E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,BVYJNGKXJTGGOCKE,1.4437E+12,Not Hispanic or Latino,Some College,0,1.4,In a relationship but not living together,2:00AM,Student full-time,N/A,White,Large city,1.4458E+12,Norway,"$20,000 to $34,999",I do not identify with a religion,10:00AM,Europe/Oslo,9:00AM,23,0,N/A,Female,1:00AM,0
54,VXPBRYLPJPLVQYQT,1.44373E+12,Not Hispanic or Latino,Master's Degree,0,1.4,In a relationship and living together,11:00PM,Work full-time,N/A,White,Large city,1.44603E+12,Norway,"$75,000 to $99,999",I do not identify with a religion,11:00AM,Europe/Brussels,7:45AM,30,0.04,N/A,Female,11:00PM,0
55,OTOPDXVTWMYUVHCY,1.44373E+12,Not Hispanic or Latino,Master's Degree,0,1.4,"In a relationship and living together,Married",11:00PM,Work full-time,N/A,White,Large city,1.44388E+12,Norway,"$50,000 to $74,999",I do not identify with a religion,9:30AM,Europe/Oslo,7:00AM,24,0,N/A,Male,10:30PM,0
56,YMWQIVTDMQBYEIES,1.44435E+12,Not Hispanic or Latino,High School / GED,0,1.4,Single,11:30PM,"Work part-time,Student full-time",Colorado,White,Suburb of a city,1.4446E+12,USA,"$75,000 to $99,999",Other,10:30AM,America/Denver,4:50AM,18,0,N/A,Female,11:30PM,0
57,VESHVDNJRPFNIPTU,1.44515E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,ULGFKIXSDXJJRLOP,1.44657E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,CTOQFQFCMSSIAARI,1.44662E+12,Not Hispanic or Latino,Less than High School,3,1.4,Single,2:00AM,Other,Texas,White,Large city,1.44662E+12,USA,"Less than $20,000",Other,1:00PM,America/Chicago,9:00AM,32,0.29,No,Female,10:00PM,0
60,NFYEYDWKTDHBEVTL,1.44668E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,SIRXFXHENGBJGWRL,1.4467E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,JLXHWDXTSYXGEOLL,1.44707E+12,Not Hispanic or Latino,2-year College Degree,0,1.4,In a relationship but not living together,3:00AM,Other,N/A,Black / African-American,Large city,1.44707E+12,Bangladesh,"Less than $20,000",Islam,7:30AM,Asia/Dhaka,6:30AM,18,1,N/A,Female,3:00AM,0
63,AMLSIREILHALNNIP,1.44803E+12,Hispanic or Latino,2-year College Degree,0,1.4,Single,11:00PM,"Unemployed,Student part-time",N/A,Asian or Asian-American,Rural,1.44803E+12,Nepal,"Less than $20,000",Hinduism,7:00AM,Asia/Katmandu,7:00AM,18,0.81,N/A,Male,11:00PM,0
64,EMCVSCCAYRVAMVMH,1.44856E+12,I prefer not to respond,Master's Degree,1,1.4,Married,10:00PM,Work full-time,N/A,I prefer not to respond,Large city,1.44856E+12,India,"Less than $20,000",Hinduism,6:00AM,Asia/Calcutta,6:00AM,34,0.76,Yes (all of the time),Female,10:00PM,0
65,KHJVALUFXACPNNCU,1.45014E+12,Not Hispanic or Latino,2-year College Degree,0,1.4,Single,12:00AM,"Work part-time,Student full-time",Colorado,White,Suburb of a city,1.45782E+12,USA,"$20,000 to $34,999",I do not identify with a religion,10:00AM,America/Denver,9:00AM,22,0,N/A,Male,12:00AM,0
66,LLKYXKWKEFDUTLHA,1.45032E+12,Not Hispanic or Latino,4-year College Degree,0,1.4,In a relationship but not living together,2:00AM,"Work part-time,Student full-time",Colorado,Asian or Asian-American,Small city,1.45245E+12,USA,"$20,000 to $34,999",I do not identify with a religion,11:00AM,America/Denver,9:00AM,23,0.05,N/A,Female,1:00AM,0
67,ULSPUXCRSBORUQKH,1.45057E+12,Not Hispanic or Latino,Some College,0,1.4,"Divorced or separated,In a relationship and living together",2:00AM,Student full-time,New York,White,Small town,1.45142E+12,USA,"$20,000 to $34,999",Christianity,10:00AM,America/New_York,8:45AM,30,0.76,N/A,"Transgender, transsexual, or queer",12:00AM,0
68,VEMXANTTEVWJSKAF,1.45082E+12,Not Hispanic or Latino,4-year College Degree,0,1.4,In a relationship and living together,2:00AM,Student full-time,N/A,White,Large city,1.4597E+12,Canada,"Less than $20,000",I do not identify with a religion,11:30AM,America/New_York,8:30AM,24,0,N/A,Female,1:00AM,0
69,LDTIVLYSHFHOATIE,1.45087E+12,Not Hispanic or Latino,High School / GED,0,1.4,In a relationship but not living together,1:00AM,Student part-time,N/A,White,Large city,1.45087E+12,Serbia,"$20,000 to $34,999",Christianity,11:00AM,Europe/Belgrade,10:00AM,23,0.81,N/A,Female,11:59PM,0
70,JBSYPQKIPMHYBIPJ,1.45099E+12,Not Hispanic or Latino,High School / GED,0,1.4,In a relationship but not living together,1:00AM,"Work part-time,Student full-time",N/A,White,Small city,1.45107E+12,Canada,"Less than $20,000",I do not identify with a religion,11:00AM,America/Toronto,8:00AM,21,0,N/A,Female,11:00PM,0
71,EGXCRAFPQAMRFGXS,1.45102E+12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,WWKHPGVOXAOMFIKA,1.45104E+12,Not Hispanic or Latino,High School / GED,0,1.4,In a relationship but not living together,1:00AM,Student full-time,N/A,White,Large city,1.45304E+12,Serbia,"$20,000 to $34,999",Christianity,11:00AM,Europe/Belgrade,10:00AM,23,0.84,N/A,Female,12:00AM,0
