"user_id","Month","Positive","Self","Negative","Mood","Thinking","Gender"
"100","Mar","0.62","0","0","1","What I was doing","Female"
"100","Mar","0.7","0","0","0.5","What I was doing","Female"
"100","Mar","0.5","0.1","0.07","0.5","What I was doing","Female"
"100","Mar","0.5","0.08","0.07","0.66","What I was doing","Female"
"100","Mar","0.5","0.31","0.07","0.5","What I was doing","Female"
"100","Mar","1","0.69","0.21","0.66","Something else","Female"
"100","Mar","0.66","0","0","0.9","What I was doing","Female"
"100","Mar","0.68","0.65","0.14","0.5","Something else","Female"
"100","Mar","0.5","0","0","0.5","What I was doing","Female"
"100","Mar","0.7","0.19","0","0.5","What I was doing","Female"
"100","Mar","0.65","0.25","0.15","0.5","What I was doing","Female"
"100","Mar","0.01","0.01","0.02","0.5","What I was doing","Female"
"100","Mar","0.7","0.03","0.04","0.83","What I was doing","Female"
"100","Mar","0.62","0.28","0.25","0.62","Something else","Female"
"100","Mar","0.5","0.17","0.2","0.5","Something else","Female"
"100","Mar","0.21","0.81","0.24","0.76","What I was doing","Female"
"100","Mar","0.65","0.31","0.22","0.81","What I was doing","Female"
"100","Mar","0.5","0.15","0.13","0.5","What I was doing","Female"
"100","Mar","0.72","0.67","0","0.82","Something else","Female"
"100","Mar","0.5","0.28","0.19","0.5","What I was doing","Female"
"100","Mar","0.72","0.22","0.21","0.23","What I was doing","Female"
"100","Mar","0.5","0.15","0.2","0.48","What I was doing","Female"
"100","Mar","0.5","0.1","0.11","0.5","What I was doing","Female"
"100","Mar","0.5","0.01","0","0.5","What I was doing","Female"
"100","Mar","0.73","0.73","0.04","0.79","Something else","Female"
"100","Mar","0.78","0.72","0.11","0.62","Something else","Female"
"100","Mar","0.5","0.19","0.21","0.5","What I was doing","Female"
"100","Mar","0.5","0.02","0.01","0.5","What I was doing","Female"
"100","Mar","0.66","0.61","0.2","0.5","Something else","Female"
"100","Mar","0.5","0.18","0.09","0.5","What I was doing","Female"
"100","Mar","0.7","0.22","0.15","0.67","What I was doing","Female"
"100","Mar","0.66","0.31","0.12","0.5","What I was doing","Female"
"100","Mar","0.5","0.09","0.1","0.5","What I was doing","Female"
"100","Mar","0.7","0.24","0.1","0.5","What I was doing","Female"
"100","Mar","0.5","0.5","0.07","0.5","Something else","Female"
